Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ_ID,FVE_ID,DFM_ID,Final_ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,sample_date,year
JZ-N,Estacion,N,05/09/22,3,D,46,priach,priach,priach,priach,0020,1.8,Y,Y,N,46,NA,NA,2022-09-05,2022
JZ-N,Estacion,N,05/09/22,4,A,47,priach,priach,priach,priach,0020,4.3,Y,Y,N,47,NA,NA,2022-09-05,2022
JZ-C,Estacion,C,05/09/22,1,A,48,priach,priach,priach,priach,0005,2.1,Y,Y,N,48,NA,uno escapo del 1B,2022-09-05,2022
JZ-C,Estacion,C,05/09/22,1,C,49,priach,priach,priach,priach,0005,4.2,Y,Y,N,49,NA,NA,2022-09-05,2022
JZ-C,Estacion,C,05/09/22,2,B,50,priach,priach,priach,priach,0005,2.6,Y,Y,N,50,NA,NA,2022-09-05,2022
JZ-C,Estacion,C,05/09/22,2,C,51,priach,priach,priach,priach,0005,2.8,Y,Y,N,51,NA,NA,2022-09-05,2022
JZ-C,Estacion,C,05/09/22,3,C,52,priach,priach,priach,priach,0005,1.9,Y,Y,N,52,NA,NA,2022-09-05,2022
JZ-C,Estacion,C,05/09/22,3,D,53,priach,priach,priach,priach,0005,3.2,Y,Y,N,53,NA,NA,2022-09-05,2022
LL-N,Estacion,N,06/09/22,1,A,54,priach,priach,priach,priach,0002,2.9,Y,Y,N,54,NA,uno escapo del 1C,2022-09-06,2022
LL-N,Estacion,N,06/09/22,2,A,55,priach,priach,priach,priach,0002,2.7,Y,Y,N,55,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,2,B,56,priach,priach,priach,priach,0002,2.9,Y,Y,N,56,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,2,C,57,priach,priach,priach,priach,0002,1.9,Y,Y,N,57,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,2,B,58,priach,priach,priach,priach,0002,3.6,Y,Y,N,58,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,2,D,59,priach,priach,priach,priach,0002,3.1,Y,Y,N,59,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,3,B,60,priach,priach,priach,priach,0002,4.1,Y,Y,N,60,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,3,C,61,priach,priach,priach,priach,0002,NA,Y,N,N,61,NA,"escapo, no pudimos medir ni cortar dedo pero si hay swab",2022-09-06,2022
LL-N,Estacion,N,06/09/22,3,B,62,priach,priach,priach,priach,0002,2.9,Y,Y,N,62,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,4,B,63,priach,priach,priach,priach,0002,3.9,Y,Y,N,63,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,4,B,64,priach,priach,priach,priach,0002,2.7,Y,Y,N,64,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,4,B,65,priach,priach,priach,priach,0002,3.8,Y,Y,N,65,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,4,C,66,epibou,epibou,epibou,epiesp,0002,1.6,Y,Y,N,66,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,4,D,67,priach,priach,priach,priach,0002,2.5,Y,Y,N,67,NA,NA,2022-09-06,2022
LL-N,Estacion,N,06/09/22,4,D,68,priach,priach,priach,priach,0002,2.8,Y,Y,N,68,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,1,A,69,priach,priach,priach,priach,0003,1.3,Y,Y,N,69,muerto,murió,2022-09-06,2022
LL-C,Estacion,C,06/09/22,1,C,70,priach,priach,priach,priach,0003,3.1,Y,Y,N,70,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,2,A,71,priach,priach,priach,priach,0003,0.8,Y,Y,N,71,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,2,C,72,priach,priach,priach,priach,0003,2.8,Y,Y,N,72,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,3,A,73,priach,priach,priach,priach,0003,2.6,Y,Y,N,73,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,3,B,74,priach,priach,priach,priach,0003,2.9,Y,Y,N,74,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,3,C,75,priach,priach,priach,priach,0003,3,Y,Y,N,75,NA,NA,2022-09-06,2022
LL-C,Estacion,C,06/09/22,3,C,76,priach,priach,priach,priach,0003,2.6,Y,Y,N,76,NA,NA,2022-09-06,2022
JZ-C,Estacion,C,07/09/22,1,A,77,priach,priach,priach,priach,0005,2.4,Y,Y,N,77,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,1,A,78,priach,priach,priach,priach,0005,2.9,Y,Y,N,77,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,1,D,79,priach,priach,priach,priach,0005,3.6,Y,Y,N,79,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,1,D,80,priach,priach,priach,priach,0005,3.6,Y,Y,N,80,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,2,A,81,priach,priach,priach,priach,0005,2.9,Y,Y,N,79,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,2,A,82,priach,priach,priach,priach,0005,1.7,Y,Y,N,82,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,2,C,83,priach,priach,priach,priach,0005,3,Y,Y,N,R15,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,3,D,84,priach,priach,priach,priach,0005,2.9,Y,Y,N,77,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,3,D,85,smipha,smipha,smipha,smipha,0005,6.9,Y,Y,N,85,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,4,B,86,boaboa,boaboa,boaboa,boaboa,0005,6.5,Y,Y,N,86,NA,NA,2022-09-07,2022
JZ-C,Estacion,C,07/09/22,4,D,87,priach,priach,priach,priach,0005,3.2,Y,Y,N,79,NA,NA,2022-09-07,2022
JZ-N,Estacion,N,07/09/22,1,D,89,rhiala,rhiala,rhiala,rhiala,0022 + 0005,1.6,Y,Y,N,89,NA,"mal corté, tuve que arreglarlo",2022-09-07,2022
JZ-N,Estacion,N,07/09/22,2,A,90,priach,priach,priach,priach,0020,2.7,Y,Y,N,R17,NA,NA,2022-09-07,2022
JZ-N,Estacion,N,07/09/22,2,B,91,priach,priach,priach,priach,0020,2.9,Y,Y,N,R17,NA,NA,2022-09-07,2022
JZ-N,Estacion,N,07/09/22,2,C,92,rhiala,rhiala,rhiala,rhiala,0020,2,Y,Y,N,92,NA,NA,2022-09-07,2022
FCAT-V2,Estacion,V,08/09/22,1,C,93,oopsyl,oopsyl,oopsyl,oopsyl,0030,2.5,Y,Y,N,93,NA,NA,2022-09-08,2022
FCAT-V2,Estacion,V,08/09/22,2,A,94,priach,priach,priach,priach,0030,2.8,Y,Y,N,94,NA,NA,2022-09-08,2022
FCAT-V2,Estacion,V,08/09/22,3,D,95,priach,priach,priach,priach,0030,2,Y,Y,N,94,NA,NA,2022-09-08,2022
FCAT-V2,Estacion,V,08/09/22,4,A,96,priach,priach,priach,priach,0030,2,Y,Y,N,96,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,1,B,97,oopsyl,oopsyl,oopsyl,oopsyl,0030 + 0040,1.8,Y,Y,N,93,NA,"mal corté, tuve que arreglarlo",2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,1,C,98,priach,priach,priach,priach,0040,2.9,Y,Y,N,94,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,1,C,99,priach,priach,priach,priach,0040,2.9,Y,Y,N,94,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,2,A,100,priwal,priwal,priach,priach,0040,2.9,Y,Y,N,100,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,2,D,101,epiesp,epiesp,epiesp,epiesp,0030 + 0040,1.8,Y,Y,N,101,NA,Epipedobates espinosai,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,3,A,102,oopsyl,oopsyl,oopsyl,oopsyl,0040,2.2,Y,Y,N,93,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,3,A,103,priach,priach,priach,priach,0040,2.6,Y,Y,N,94,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,3,A,104,priach,priach,priach,priach,0040,2.6,Y,Y,N,94,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,4,D,105,leubil,leubil,leubil,leubil,0040,2.5,Y,Y,N,105,colectado,muerto - tomamos el individuo para llevar al USFQ,2022-09-08,2022
AL-N,Estacion,N,09/09/22,1,A,106,priach,priach,priach,priach,0200,2,Y,Y,N,106,NA,NA,2022-09-09,2022
AL-N,Estacion,N,09/09/22,2,A,107,priach,priach,priach,priach,0200,2.3,Y,Y,N,106,NA,NA,2022-09-09,2022
AL-N,Estacion,N,09/09/22,2,B,108,priach,priach,priach,priach,0200,2.1,Y,Y,N,108,NA,NA,2022-09-09,2022
AL-N,Estacion,N,09/09/22,2,B,109,priach,priach,priach,priach,0200,3.5,Y,Y,N,109,NA,NA,2022-09-09,2022
AL-N,Estacion,N,09/09/22,2,C,110,priach,priach,priach,priach,0200,2.3,Y,Y,N,106,NA,NA,2022-09-09,2022
AL-N,Estacion,N,09/09/22,3,B,111,priach,priach,priach,priach,0200,2.1,Y,Y,N,111,NA,NA,2022-09-09,2022
AL-N,Estacion,N,09/09/22,4,D,112,priach,priach,priach,priach,0200,1.8,Y,Y,N,106,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,A,113,priach,priach,priach,priach,0300,1.8,Y,Y,N,106,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,B,114,priach,priach,priach,priach,0300,2.2,Y,Y,N,114,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,B,115,priach,priach,priach,priach,0300,2.6,Y,Y,N,114,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,C,116,priach,priach,priach,priach,0300,2.1,Y,Y,N,116,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,C,117,priach,priach,priach,priach,0300,2.2,Y,Y,N,117,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,C,118,priach,priach,priach,priach,0300,2.3,Y,Y,N,114,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,1,D,119,priach,priach,priach,priach,0300,1.6,Y,Y,N,114,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,2,A,120,priach,priach,priach,priach,0300,2.5,Y,Y,N,117,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,2,A,121,priach,priach,priach,priach,0300,2.8,Y,Y,N,106,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,2,B,122,priach,priach,priach,priach,0300,3.4,Y,Y,N,122,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,2,C,123,priach,priach,priach,priach,0300,2.2,Y,Y,N,123,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,2,D,124,priach,priach,priach,priach,0300,2.9,Y,Y,N,123,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,A,125,priach,priach,priach,priach,0300,2.7,Y,Y,N,108,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,B,126,priach,priach,priach,priach,0300,4.3,Y,Y,N,108,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,C,127,priach,priach,priach,priach,0300,2.5,Y,Y,N,114,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,C,128,priach,priach,priach,priach,0300,3.7,Y,Y,N,108,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,C,129,priach,priach,priach,priach,0300,2.9,Y,Y,N,109,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,D,130,priach,priach,priach,priach,0300,3.2,Y,Y,N,109,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,3,D,131,priach,priach,priach,priach,0300,3,Y,Y,N,109,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,4,A,132,priach,priach,priach,priach,0300,3.4,Y,Y,N,132,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,4,A,133,priach,priach,priach,priach,0300,2.6,Y,Y,N,132,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,4,B,134,priach,priach,priach,priach,0300,2.4,Y,Y,N,108,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,4,D,135,priach,priach,priach,priach,0300,2.8,Y,Y,N,109,NA,NA,2022-09-09,2022
JZJ-C,Estacion,C,09/09/22,4,D,136,priach,priach,priach,priach,0300,2.7,Y,Y,N,108,NA,NA,2022-09-09,2022
FCAT-B2,Estacion,B,10/09/22,1,A,137,epibou,epibou,epibou,epiesp,0040,1.6,Y,Y,N,137,NA,NA,2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,2,C,138,epibou,epibou,priach,priach,0040,1.8,Y,Y,N,138,NA,"confirmado que es priach - DFM, misma foto identificado como priach, epibou",2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,2,D,139,priach,priach,priach,priach,0040,3.6,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,3,B,140,priach,priach,priach,priach,0040,3,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,4,A,141,priach,priach,priach,priach,0040,3.2,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,4,C,142,priach,priach,priach,priach,0040,2.1,Y,Y,N,138,NA,"misma foto identificado como priach, epibou, confirmado que es priach",2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,4,D,143,priach,priach,priach,priach,0040,2.6,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-B2,Estacion,B,10/09/22,4,D,144,priach,priach,priach,priach,0040,2.9,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,1,A,145,priach,priach,priach,priach,0030,3.8,Y,Y,N,145,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,1,A,146,priach,priach,priach,priach,0030,3.5,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,1,B,147,priach,priach,priach,priach,0030,2.3,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,1,D,148,oopsyl,oopsyl,oopsyl,priach,0030,2.9,Y,Y,N,R19,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,2,A,149,priach,priach,priach,priach,0030,3,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,2,C,150,priach,priach,priach,priach,0030,2.2,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,2,C,151,priach,priach,priach,priach,0030,3.4,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,2,D,152,priach,priach,priach,priach,0030,2.8,Y,Y,N,152,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,3,D,153,priach,priach,priach,priach,0030,2.8,Y,Y,N,139,NA,NA,2022-09-10,2022
FCAT-V2,Estacion,V,10/09/22,3,D,154,priach,priach,priach,priach,0030,2.2,Y,Y,N,154,NA,NA,2022-09-10,2022
JZJ-C,Estacion,C,12/09/22,1,A,155,priach,priach,priach,priach,0300,2.6,Y,Y,N,155,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,1,A,156,priach,priach,priach,priach,0300,3.5,Y,Y,N,156,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,1,A,157,priach,priach,priach,priach,0300,2,Y,Y,N,157,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,1,B,158,priach,priach,priach,priach,0300,2.4,Y,Y,N,157,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,1,B,159,priach,priach,priach,priach,0300,2.5,Y,Y,N,156,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,1,B,160,priach,priach,priach,priach,0300,2.8,Y,Y,N,155,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,1,C,161,priach,priach,priach,priach,0300,2.2,Y,Y,N,160,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,2,A,162,priach,priach,priach,priach,0300,1.7,Y,Y,N,157,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,2,B,163,priach,priach,priach,priach,0300,3.6,Y,Y,N,155,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,2,B,164,priach,priach,priach,priach,0300,3.3,Y,Y,N,155,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,2,C,165,priach,priach,priach,priach,0300,2.3,Y,Y,N,156,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,2,C,166,priach,priach,priach,priach,0300,3.9,Y,Y,N,166,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,A,167,priach,priach,priach,priach,0300,3.4,Y,Y,N,166,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,B,168,priach,priach,priach,priach,0300,2.6,Y,Y,N,168,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,B,169,priach,priach,priach,priach,0300,1.9,Y,Y,N,169,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,C,170,priach,priach,priach,priach,0300,3.3,Y,Y,N,170,NA,en amplexus,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,C,171,priach,priach,priach,priach,0300,2.7,Y,Y,N,156,NA,en amplexus,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,D,172,priach,priach,priach,priach,0300,2.3,Y,Y,N,169,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,3,D,173,priach,priach,priach,priach,0300,2.5,Y,Y,N,157,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,4,A,174,priach,priach,priach,priach,0300,2.1,Y,Y,N,157,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,4,B,175,priach,priach,priach,priach,0300,3.4,Y,Y,N,170,NA,NA,2022-09-12,2022
JZJ-C,Estacion,C,12/09/22,4,C,176,priach,priach,priach,priach,0300,2.2,Y,Y,N,169,NA,NA,2022-09-12,2022
AL-N,Estacion,N,12/09/22,1,A,177,priach,priach,priach,priach,0200,2.4,Y,Y,N,169,NA,NA,2022-09-12,2022
AL-N,Estacion,N,12/09/22,2,C,178,priach,priach,priach,priach,2000 + 0300 + 0200,4,Y,Y,N,166,NA,mal corté pero arreglado,2022-09-12,2022
AL-N,Estacion,N,12/09/22,2,C,179,priach,priach,priach,priach,0200,2.5,Y,Y,N,169,NA,NA,2022-09-12,2022
AL-N,Estacion,N,12/09/22,3,D,180,priach,priach,priach,priach,2000 + 0300 + 0200,2.9,Y,Y,N,166,NA,mal corté pero arreglado,2022-09-12,2022
AL-N,Estacion,N,12/09/22,4,D,181,priach,priach,priach,priach,0200,3.5,Y,Y,N,169,NA,NA,2022-09-12,2022
AL-N,Estacion,N,12/09/22,4,D,182,priach,priach,priach,priach,0200,3,Y,Y,N,182,NA,NA,2022-09-12,2022
FCAT-V2,Estacion,V,13/09/22,2,C,183,priach,priach,priach,priach,0030,2.5,Y,Y,N,183,NA,NA,2022-09-13,2022
FCAT-V2,Estacion,V,13/09/22,3,B,184,priach,priach,priach,priach,0030,4.2,Y,Y,N,184,NA,NA,2022-09-13,2022
FCAT-V2,Estacion,V,13/09/22,3,C,185,priach,priach,priach,priach,0030,2.7,Y,Y,N,183,NA,NA,2022-09-13,2022
FCAT-V2,Estacion,V,13/09/22,4,D,186,pri?,prilat,prilat,prilatid,0030,2,Y,Y,N,186,colectado - prilatidiscus o prilaticlavius?,"muerto, llevado a USFQ para muestra - es latadiscus?",2022-09-13,2022
FCAT-V2,Estacion,V,13/09/22,4,D,187,priach,priach,priach,priach,0030,3.9,Y,Y,N,184,NA,NA,2022-09-13,2022
FCAT-B2,Estacion,B,13/09/22,1,C,188,oopsyl,oopsyl,oopsyl,oopsyl,4000 + 0040 + 0030,3.1,Y,Y,N,188,NA,mal corté pero arreglado,2022-09-13,2022
FCAT-B2,Estacion,B,13/09/22,1,D,189,priach,priach,priach,priach,0040,4,Y,Y,N,184,NA,NA,2022-09-13,2022
FCAT-B2,Estacion,B,13/09/22,2,D,190,priach,priach,priach,priach,0040,2.1,Y,Y,N,R32,NA,NA,2022-09-13,2022
FCAT-B2,Estacion,B,13/09/22,2,D,191,priach,priach,priach,priach,0040,4,Y,Y,N,191,NA,NA,2022-09-13,2022
